Object ID,Museum No.,Publication,Text number,Period,Place of issue,Type and content,Day remark,Month,Month remark,Year,Year remark,King,King remark,Paraphrase,Transliteration,Imported,Publication name,Archive,Day (Babylonian),Bibliography,Title,Duplicate,Related objects,Julian date,Julian date year,Place of issue Remark,Museum inventory no.,Page number,Join,Bibliography (free text),CDLI No.,NaBuCCo No.,Other markings,Orientation,Other markings Description,CDLI reference,Items and quantifiable data,Provenience,Akkadian keywords,General keywords,Photo,Julian date Remark,Provenience Remark,Philological notes,Philological notes Remark,Identifier,Babylonian date Remark
5596,HS 576,TMH 2/3,132,ENB,Nippur city,Divisions (other than inheritances),-,VI,-,36,-,Asb,-,"Dialogue document concerning the transfer of land: <strong>B</strong> approaches <strong>A</strong> and asks him to give him a half share (<em>zittu</em>) of the royal land allotment (<em>zu&rsquo;&rsquo;uztu &scaron;arri</em>) belonging to the <em>han&scaron;&ucirc;</em>-land of <strong>C</strong>. <strong>A</strong> agrees and gives <strong>B</strong> half (<em>ahu</em>) of his date garden (<em>kir&icirc;</em> <em>gi&scaron;immari</em>) and half of another plot of land (details broken). 8 witnesses and the scribe.<br />
&nbsp;<br />
<strong>A</strong> = Arrabu/&Scaron;arrāni; <strong>B</strong> = &Scaron;ama&scaron;-erība/&Scaron;arrāni; <strong>C</strong> = Nab&ucirc;-zēru-ibni; Scribe = Ninurta-nādin-&scaron;umi//Kalūmu<br />
&nbsp;",,Melanie Gross (26/05/2016),TMH 2/3 132,,17,,HS 576,,,633 BCE,633,,,,,,,,-,Landscape,,,,,,,,,,,,,
5580,HS 456,TMH 2/3,12,ENB,Borsippa city,Purchases,-,III,-,10,-,Ššu,-,"Purchase of land:<strong> A</strong> purchases a third share (<em>zittu</em>) of the <em>han&scaron;&ucirc;</em>-land belonging to <strong>C</strong> for 2 1/2&nbsp; shekels of silver in pieces (<em>&scaron;ibirtu</em>) from <strong>B<sub>1</sub> </strong>and<strong> B<sub>2</sub> </strong>(though only <strong>B<sub>1</sub> </strong>acts as an active contractual partner). The sold share of land is located within the share of <strong>D</strong> and extends from the Borsippa Canal to the dam (<em>kil&acirc;tu</em>). It measures 18 square cubits (31.5 m<sup>2</sup>). The transaction is concluded before (<em>ana mahar</em>) the governor (<em>&scaron;ākin ṭēmi</em>) of Borsippa (Nab&ucirc;-&scaron;umu-uṣur//Ilia) and the bishop (<em>&scaron;atammu</em>) of Ezida (Nab&ucirc;-nādin-&scaron;umi//Nūr-Papsukkal), also defined as temple-enterer (<em>ērib bīti</em>) of the Nab&ucirc; Temple. 3 witnesses (including Nab&ucirc;-damqi, another member of the Iddin-Papsukkal Family) and the scribe, also identified as the writer of the sealed tablet (<em>&scaron;āṭir kunukki</em>).<br />
&nbsp;<br />
<strong>A </strong>= Nab&ucirc;-erība//Nappāhu; <strong>B<sub>1</sub> </strong>= Bēl-ahhē-iddin//Iddin-Papsukkal; <strong>B<sub>2</sub> </strong>= Rā&scaron;i-ili//Iddin-Papsukkal; <strong>C</strong> = Iddin-ahu//Ilūtu-bāni; <strong>D</strong> = Nab&ucirc;-ēre&scaron;; Scribe = Nab&ucirc;-mutīr-gimilli//R&acirc;&scaron;ua<br />
&nbsp;",,Melanie Gross (26/05/2016),TMH 2/3 12,,5,"San Nicolò, BR 8/7 (1951), no. 9 (transliteration, translation).",HS 456,,,658 BCE,658,,,,,,,,-,Portrait,,,,,,,,,,,,,
5564,CBS 12812,"Clay, BE 8/1 (1908)",157,ENB,,Promissory notes ina muẖẖi,-,VIb,-,,[-],Sîn-šumu-lēšir,-,"Loan of silver:<strong> B</strong> owes <strong>A</strong> [x] amount of silver without interest (<em>qaqqadu</em>). Beginning with the current day, the debt bears an interest of 1/12 shekel silver per shekel (8.33% p.a.). The debt is secured by the pledge of the entire assets (<em>mimm&ucirc;</em>) of <strong>B</strong>. 5 witnesses and the scribe.<br />
&nbsp;<br />
<strong>A</strong> = Aplāya//[&hellip;]; <strong>B</strong> = [&hellip;]-mukīn-zēru/[&hellip;]; Scribe = &Scaron;ama&scaron;-ina-e&scaron;e-ēṭir//&Scaron;ama&scaron;-iddin",,Melanie Gross (26/05/2016),"Clay, BE 8/1 (1908) 157",,1,"BR 8/7, 64 (transliteration, translation). Mentioned in Nielsen 2011: 231, fn. 24. ",CBS 12812,,,,,ma-ši-˹x-x-x˺,,,,,P267413,,-,Landscape,,,,,,,,,,,,,
5545,AO 4508,TCL 12,5,ENB,Nippur city,Promissory notes ina muẖẖi,-,XII,-,31,-,Asb,-,"Loan of barley: <strong>B</strong> owes <strong>A</strong> [x] kor of barley. He will pay the debt until the end of D&ucirc;zu (IV) in the form of silver. Per 0;0.0.18 kor (18 l) of barley <strong>B</strong> will pay 1 shekel of silver. 3(+) witnesses and the scribe.<br />
&nbsp;<br />
<strong>A</strong> = [&hellip;]; <strong>B</strong> = Nergal-nāṣir/Kabtia; Scribe = Enlil-kidin//Bēl-erība<br />
&nbsp;",,Melanie Gross (26/05/2016),TCL 12 5,,26,"Moore, NBBAD (1935),  no. 5 (transliteration, translation).",AO 4508,,,638 BCE,638,,,,,,P492335,,,Portrait,,,,,,,,,,,,,
5529,UM 52-30-6,UET 4,8,ENB,Ur city,Purchases,[-],-,[-],,[-],-,[-],"Dialogue document concerning the purchase of a house:<strong> B </strong>approaches <strong>A</strong> and asks him to buy his house so that he is able to maintain (<em>akālu</em>) himself and pay off (<em>&scaron;alāmu</em>) his creditors (<em>rā&scaron;&ucirc;</em>). <strong>A</strong> grants this request and weighs out and pays (<em>h&acirc;ṭu</em>-<em>nadānu</em>) to <strong>B </strong>1 1/3 minas and 3 shekels of silver for the offered house. The sold house is located in the district of &hellip; (lost) inside of Babylon. Its upper side borders on a wide alleyway (<em>sul&ucirc; rab&ucirc;</em>) and its lower side on (the property of) <strong>C<sub>1</sub></strong>. Its upper front borders on a narrow street (<em>sūqu qatnu</em>) and its lower front on (the property of) <strong>C<sub>2</sub></strong>. The transaction is concluded in the presence of (<em>ina u&scaron;uzzi</em>) the governor (<em>&scaron;ākin ṭēmi</em>) of Ur (Nab&ucirc;-rē&scaron;i-i&scaron;&scaron;i) and the priest (<em>&scaron;ang&ucirc;</em>) of Ur (Balāssu). 5 witnesses and the scribe, also identified as the writer of the sealed tablet (<em>&scaron;āṭir kunukki</em>).<br />
&nbsp;<br />
<strong>A</strong> = Rēmūtu//Dummuqu; <strong>B </strong>= Ibāya//Balāssu; <strong>C<sub>1</sub></strong> = Bēl-iddin//Aplāya; <strong>C<sub>2</sub></strong> = Amēl-&Scaron;ama&scaron;; Scribe = Nab&ucirc;-zēru-[&hellip;]//[&hellip;]-na&rsquo;id<br />
&nbsp;",,Melanie Gross (26/05/2016),UET 4 8,,,"San Nicolò, BR 8/7 (1951), no. 26 (transliteration, translation).",UM 52-30-6,,,,,[Ur],,,,,P414704,,Nail impressions,Portrait,on the left edge,,,,,,,,,,,,
5512,Ash. 1924.491,OECT 10,396,ENB,Dilbat city,Court protocols,-,X,-,6,-,Esar,-,"Settlement of a dispute: <strong>A</strong> litigates against <strong>B</strong> about land at the Lagamal Canal (Harru-&scaron;a-Lagamal) which his father has purchased against silver. <strong>B</strong> will have to pay 7 shekels of silver. <strong>A</strong> won&rsquo;t file another suit against <strong>B</strong>. Curse formula. 2 witnesses and the scribe.<br />
&nbsp;<br />
<strong>A</strong> = L&acirc;b&acirc;&scaron;i/Basi; <strong>B</strong> = L&acirc;b&acirc;&scaron;i//&Scaron;ang&ucirc;-Dilbat; Scribe = Rēmūt-Nab&ucirc;/Isināya<br />
&nbsp;",,Melanie Gross (26/05/2016),OECT 10 396,Egibi,27,"Mentioned in Langdon, JRAS (1928), 321.",Ash. 1924.491,,,675 BCE,675,,,,,,,,-,Landscape,,,,,,,,,,,,,
5496,MLC 332,BRM 1,32,ENB,Dilbat city,Indeterminate legal texts,-,X,-,9,-,Esar,-,"Dialogue document with a heavily broken obverse: <strong>B</strong> approaches <strong>A</strong> and asks him for something which also involves the sum of 50 shekels of silver. 1 witness and the scribe.<br />
&nbsp;<br />
<strong>A</strong> = Kurigalzu; <strong>B</strong> = Upāqu; Scribe = Kudurru<br />
&nbsp;",,Melanie Gross (26/05/2016),BRM 1 32,,22,"Mentioned in Nielsen 2011: 103, fn. 355. ",MLC 332,,,672 BCE,672,,,,,,P295137,,,Landscape,,,,,,,,,,,,,
5479,YBC 7399,"de Jong Ellis, JCS 36/1",25,ENB,Nippur city,Loans ina pani,no day,X,-,1,?,Sîn-šarru-iškun,-,,,Melanie Gross (26/05/2016),"de Jong Ellis, JCS 36/1 25",,,,YBC 7399,,,,,,,,,,P308343,,-,Landscape,,,,,,,,,,,,,
5463,YBC 3955,"de Jong Ellis, JCS 36/1",8,ENB,Uruk city,Purchases,-,X,-,6,-,Kan,-,"Purchase of fallow land: The temple of I&scaron;tar of Uruk and Nanāya purchases three fallow fields for 87 shekels of silver in pieces (<em>&scaron;ibirtu</em>) from the two brothers <strong>B<sub>1</sub></strong> and <strong>B<sub>2</sub></strong>, sons of <strong>B<sub>3</sub></strong> who is the actual owner of the field. The sold land is located in the district (<em>erṣetu</em>) of the &Scaron;ama&scaron; Gate inside Uruk. The transaction is concluded in the presence of (<em>ina u&scaron;uzzi</em>) the royal resident (<em>qīpu</em>) of Eanna (&Scaron;ama&scaron;-ilāya) and the scribe of Eanna (&Scaron;irikti-Marduk/Nab&ucirc;-u&scaron;allim//Hunzu&rsquo;). 6 witnesses and the scribe.<br />
&nbsp;<br />
<strong>B<sub>1</sub></strong> = Nab&ucirc;-mukīn-apli/Zērūtu; <strong>B<sub>2</sub></strong> = Tabnēa/Zērūtu; <strong>B<sub>3</sub></strong> = Zērūtu/&Scaron;ulāya; Scribe = Marduk-&scaron;umu-uṣur/Nergal-nāṣir//Mudammiq-Adad",,Melanie Gross (26/05/2016),"de Jong Ellis, JCS 36/1 8",,27,Mentioned in Nielsen 2011 passim.,YBC 3955,,,642 BCE,642,,,,,,P305267,,Nail impressions,Portrait,on the preserved edges,,,,,,,,,,,,
5435,IM 65077,"Hunger, BaM 5",11,ENB,Uruk city,Purchases,-,VII,-,6,-,Sîn-šarru-iškun,-,"Purchase of a prebend: <strong>A</strong> purchases a share (<em>isqu</em>) of the prebend of the baker (<em>nuhatimmūtu</em>) before Nanāya for 5 days, from the 16<sup>th</sup> to the 20<sup>th</sup> of Ṭebēt (X), for 1 2/3 minas of silver in pieces (<em>&scaron;ibirtu</em>), together with an additional payment (<em>atru</em>) of 2 shekels of silver, from <strong>B</strong>. The transaction is concluded in the presence of (<em>ina u&scaron;uzzi</em>) the governor (<em>&scaron;ākin ṭēmi</em>) of Uruk (Nab&ucirc;-udammiq). 4 witnesses&nbsp; (including Nergal-ibni, son of the governor) and the scribe. The transaction takes place in a year of &quot;locking of the gate&quot; (edel bābi). Instead of a seal impression (<em>kunukku</em>), fingernail impression (<em>ṣupru</em>) of the seller.<br />
&nbsp;<br />
<strong>A</strong> = Nab&ucirc;-u&scaron;allim/Bēl-iddin; <strong>B </strong>= Naˀid -Marduk/Rā&scaron;i-ili; Scribe = Nab&ucirc;-&scaron;umu-ukīn/Ahhēa<br />
&nbsp;",,Melanie Gross (26/05/2016),"Hunger, BaM 5 11",Šamšēa,23,,IM 65077,,,,,,,,,,,,,Portrait,,,,,,,,,,,,,
5417,VAT 17892,FB 10,14,ENB,Babylon city,Promissory notes ina muẖẖi,[-],-,[-],,[-],Ššu,-,"Loan of silver:<strong> B</strong> owes <strong>A</strong> [x] mina of silver without interest (<em>qaqqudu</em>). The details about the debt&rsquo;s interest are not preserved. Neither is the witness list preserved.<br />
&nbsp;<br />
<strong>A</strong> = Bēl-u&scaron;allim; <strong>B</strong> = [&hellip;]; Scribe = [&hellip;]<br />
&nbsp;",,Melanie Gross (26/05/2016),FB 10 14,Bēl-ušallim//Lēˀēa,,,VAT 17892,,,,,,,,,,P282584,,-,Landscape,,,,,,,,,,,,,
5400,BM 118973,Frame 2013,23,ENB,Babylon city,Purchases,-,V,-,,no year,no king,no king,"Purchase of a garden:<strong> A</strong> purchases a date garden (<em>kir&icirc;</em> <em>gi&scaron;immari</em>), bearing fruit (<em>iṣṣi bilti</em>), for 5 1/3 minas of silver in pieces (<em>&scaron;ibirtu</em>), together with an additional payment (<em>atru</em>) of 10 shekels of silver, from the three brothers <strong>B<sub>1, </sub>B<sub>2 </sub></strong>and <strong>B<sub>3</sub></strong>. The sold garden is located in the Akītu district (<em>erṣet akītu</em>), [in the meadowland (<em>ugāru</em>) of Uruk]. Its upper side borders on (the property of) <strong>C<sub>1</sub></strong> and its lower side on (the property of) <strong>C<sub>2</sub></strong>. Its upper front follows the canal (<em>harru</em>) of the goddess Nanāya and its lower front borders on a road (<em>harrānu</em>). The upper front and the lower front each measure 330 cubits (165 m). No cardinal directions are given in the record. 21 witnesses and the scribe. The tablet is dated to the year of Aqar&acirc;, provincial governor of Babylon in the reign of Assurbanipal. Fingernail impressions (<em>ṣupru</em>) of sellers.<br />
&nbsp;<br />
<strong>A</strong> = Mu&scaron;ēzib-Marduk/Kiribtu; <strong>B<sub>1 </sub></strong>= Bēl-uballiṭ/Ahhē&scaron;āya; <strong>B<sub>2 </sub></strong>= Mukīn-zēri/Ahhē&scaron;āya; <strong>B<sub>3 </sub></strong>= Nab&ucirc;-nāṣir/Ahhē&scaron;āya; <strong>B<sub>4 </sub></strong>= Ahhē&scaron;āya; <strong>C<sub>1 </sub></strong>= Kudurru/[&hellip;]; <strong>C<sub>2 </sub></strong>= Marduk-ēre&scaron;//Nab&ucirc;-[&hellip;]; Scribe = Nādinu//&Scaron;umu-ukīn<br />
&nbsp;",,Melanie Gross (26/05/2016),Frame 2013 23,Sîn-nāṣir,5,"Frame, RA 76 (1982), 157–166 (copy, edition). Mentioned in Frame 1992: 286–287.",BM 118973,,,,,,,,,,,,Nail impressions,Portrait,on all four edges,,,,,,,,,,,,
5384,BM 118981,Frame 2013,7,ENB,Uruk city,Purchases,-,X,-,1,-,Ššu,-,"Purchase of a garden:<strong> A</strong> purchases a half share (<em>ahu</em>) of an orchard (<em>kir&ucirc;</em>) for 2 minas of silver in pieces (<em>&scaron;ibirtu</em>), together with an additional payment (<em>atru</em>) of 5 shekels of silver, from <strong>B </strong>who formerly purchased it from<strong> C</strong>. The sold garden is located along a moat (<em>harīṣu</em>). Its upper side and its lower side border on (the properties of) <strong>D<sub>1</sub></strong> and <strong>D<sub>2</sub></strong> respectively. No other specification concerning the location and measures of the garden are given in the record. The transaction is concluded in the presence of (<em>ina uzuzzi</em>) the governor (<em>&scaron;ākin ṭēmi</em>) of Uruk (Ahhē&scaron;āya). 13 witnesses and the scribe, also defined as writer of the tablet (<em>&scaron;āṭir ṭuppi</em>). Fingernail impression (<em>ṣupru</em>) of the seller.<br />
&nbsp;<br />
<strong>A</strong> = Mu&scaron;ēzib-Marduk/Kiribtu; <strong>B</strong> = Nab&ucirc;-u&scaron;ab&scaron;i/Nab&ucirc;-nāṣir;<strong> C</strong> = &Scaron;āpik-zēri/Balāssu, <em>nuāru</em> (musician); <strong>D<sub>1</sub></strong> = Nab&ucirc;-u&scaron;allim//Nādinu; <strong>D<sub>2</sub></strong> = Zēru-ukīn//&Scaron;āpik-zēri; Scribe = Ammēni-ilī//Bulluṭu<br />
&nbsp;",,Melanie Gross (26/05/2016),Frame 2013 7,Sîn-nāṣir,18,,BM 118981,,,667 BCE,667,,,,,,,,Nail impressions,Portrait,on all four edges,,,,,,,,,,,,
6066,80-B-12,,,ENB,Assur,,-,XI,-,2,-,Esar,-,,,Melanie Gross (26/05/2016),,,7,,80-B-12,,,679 BCE,679,,,,,,,,,,,,,,,,,,,,,,
6050,ND 6220,CTN 3,79,ENB,,Single transaction,no day,-,[-],11,[ ]?,Marduk-apla-iddina II,-,"Broken label of a delivery of a commodity: A commodity (perhaps wool) from <strong><sup>f</sup>B</strong> is under the administrative authority of (<em>&scaron;a qātē</em>) <strong>A<sub>1</sub></strong> and <strong>A<sub>2</sub></strong>.<br />
&nbsp;<br />
<strong>A<sub>1</sub></strong> = Marnalu; <strong>A<sub>2</sub></strong> = Amurru-mukīn-i&scaron;diya; <strong><sup>f</sup>B</strong> = <sup>f</sup>[&hellip;]-sarurat<br />
<br />
&nbsp;",,Melanie Gross (26/05/2016),CTN 3 79,,,,ND 6220,,,711 BCE,711,no place,,,,,P429066,,Pierced,,,,"-, -",,,,,,,,,,
6016,80-B-10,,,ENB,Babylon city,,-,XI,-,,no year,no king,no king,,,Melanie Gross (26/05/2016),,,18,,80-B-10,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,IM 57914,,,ENB,Nippur city,,[ ]?,V,[ ]?,2,-,Sîn-šarru-iškun,-,,,Melanie Gross (26/05/2016),,,17,,IM 57914,,,,,,,,,,,,,,,,,,,,,,,,,,
5984,BM 50806,,,ENB,,,[-],-,[-],,[-],Kan,-,,,Melanie Gross (26/05/2016),,,,,BM 50806,,,,,[-],,,,,,,,,,,,,,,,,,,,,
5968,BM 44767,,,ENB,,,-,VI,-,,[-],Kan,-,,,Melanie Gross (26/05/2016),,,2,,BM 44767,,,,,no place,,,,,,,,,,,,,,,,,,,,,
5952,BM 66770,,,ENB,Sippar city,,-,IX,-,20,-,Kan,-,,,Melanie Gross (26/05/2016),,,26,,BM 66770,,,628 BCE,628,,,,,,,,,,,,,,,,,,,,,,
5935,BM 47563,,,ENB,Babylon city,,-,I,-,18,-,Kan,-,,,Melanie Gross (26/05/2016),,,19,"Mentioned in Langdon, JRAS (1928), 324.",BM 47563,,,630 BCE,630,,,,,,,,,,,,,,,,,,,,,,
5919,BM 40505,,,ENB,Babylon city,,-,XII,-,13,-,Kan,-,,,Melanie Gross (26/05/2016),,,22,,BM 40505,,,635 BCE,635,,,,,,,,,,,,,,,,,,,,,,
5903,RSM 1889.102,Dalley 1979,61,ENB,,Single transaction,-,IX,-,10,-,Kan,-,"Administrative record about the disbursement of sesame: 10;2 kor (1,872 l) of sesame in vessels (<em>ina sūti</em>) are measured out (<em>madādu</em>) on the present day by Nab&ucirc;-kuzub-ilāni for oil for the temple.<br />
&nbsp;",,Melanie Gross (26/05/2016),Dalley 1979 61,,12,"Mentioned in Langdon, JRAS (1928), 324.",RSM 1889.102,,,638 BCE,638,no place,,,NMS A.1889.102,,P453187,,-,Landscape,,,,,,,,,,,,,
7352,BM 30590,Dar.,273,Each,Babylon city,Leases,-,V,-,23,?,Dar,-,"Land rental.<br />
<strong>A<sub>1</sub></strong> rents a field which belongs to his wife <strong><sup>f</sup>A<sub>2</sub></strong> for 5 years to <strong>B</strong>. The land is planted with trees (<em>zēru zaqpu</em>), located in Litamu, from the bank (<em>ki&scaron;ādu</em>) of the Piqūdu Canal to the (property of) <strong>C</strong>, and it borders on (the properties of) <strong><sup>f</sup>D</strong> and of <strong>E</strong>&rsquo;s sons. The central part of the text is fragmentary: from what is extant, one infers that the renter shall dig a ditch and that he will receive the gardener&#39;s remuneration (<em>&scaron;issinnu</em>). Likely the text included provisions related to irrigation duties. When the text resumes, the gardener&#39;s remuneration (<em>&scaron;issinnu</em>) is mentioned again: <strong>B</strong> will receive 5 kor (900 l) of dates per kor of land. As long as he will hoe (<em>dek&ucirc;</em>) the soil with the plow (<em>epinnu</em>), loosen it (<em>pa&scaron;aru</em>) and break up <em>the clods</em>(?) (<em>&scaron;etirtu</em>), he will receive 4 kor (720 l) of dates as gardener&#39;s remuneration (<em>&scaron;issinnu</em>). Whoever breaks the contract shall pay 1 mina of silver. Along the years, the renter will finish the entire digging work (<em>her&ucirc;-ma qat&ucirc;</em>); he has at his disposal 1 shovel (<em>marru</em>) whose weight is 2 minas and 6 shekels. Names of 6 witnesses and the scribe.<br />
&nbsp;<br />
<strong>A<sub>1</sub></strong> = Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi; <strong><sup>f</sup>A<sub>2</sub></strong> = <sup>f</sup>Amat-Bāba/Kalbāya//Nabāya; <strong>B</strong> = Madānu-iddin; <strong>C</strong> = Kināya; <strong><sup>f</sup>D</strong> = <sup>f</sup>Inba-Arad-Marduk; <strong>E</strong> = Nab&ucirc;-ittannu","Transliteration available on <a href=""http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1658131"" target=""_blank"">Achemenet</a>",Kathleen Abraham 09/01/2017,Dar. 273,Egibi/Nūr-Sîn,19,"reediton: Wunsch 2000, no. 191; Krecher 1970, 284; van Driel, BSA 5 (1990), 231, 239.",BM 30590,,,25/08/499 BCE,499,,,,,,,,,,,,,,,,,,,,,,
7336,BM 30737,,,-,,Letters,,,,,,,,,,,,Egibi/Nūr-Sîn,,To be published by Johannes Hackl. ,BM 30737,,,,,,,,,,,,,,,,,,,,,,,,,,
7320,BM 30869,Nbn.,635,NB,Babylon city,Purchases,-,VIII,-,12,-,Nbn,-,"Sale of a slave.<br />
<strong>A<sub>1</sub> </strong>and his wife <strong><sup>f</sup>A<sub>2</sub></strong>, of their own free will, sell their female slave <strong><sup>f</sup>C</strong>, to <strong>B</strong> for an agreed purchase price amounting to 1/2 mina and 2 shekels of silver. The sellers guarantee against (suits brought by) a person acting unlawfully (<em>sēh&ucirc;</em>) or a person claiming (<em>pāqirānu</em>) that <strong><sup>f</sup>C </strong>is a palace servant (<em>arad ekalli</em>) or a free person (<em>mār ban&ecirc;</em>). They guarantee for each other. Names of 3+ witnesses and the scribe.<br />
&nbsp;<br />
<strong>A<sub>1</sub></strong> = Nab&ucirc;-zēru-ukīn/&Scaron;ulāya//Lūṣi-ana-nūr-Marduk; <strong><sup>f</sup>A<sub>2</sub></strong> = <sup>f</sup>Ṭabatu/Uballiṭ-Marduk//[...], wife of <strong>A<sub>1</sub></strong>; <strong>B</strong> = Itti-Marduk-balāṭu/Nab&ucirc;-ahhē-iddin//Egibi; <strong><sup>f</sup>C</strong> = <sup>f</sup>Ana-āli&scaron;u",,Kathleen Abraham 09/01/2017,Nbn. 635,Egibi/Nūr-Sîn,17,"Krecher 1970, 181; Koschaker 1911, 261.",BM 30869,,,,,,,,,,,,,,,,,,,,,,,,,,
7304,BM 31936,CT 22,109,-,,Letters,,,,,,,,,,,CT 22 109,Egibi/Nūr-Sîn,,,BM 31936,,,,,,,,,,,,,,,,,,,,,,,,,,
7288,BM 31831,,,-,,Letters,,,,,,,,,,,,Egibi/Nūr-Sîn,,,BM 31831,,,,,,,,,,,,,,,,,,,,,,,,,,
7272,BM 30512,Nbn.,787,NB,Babylon city,Commercial partnerships,-,VI,-,14,-,Nbn,-,"Division of shares in a business company and interim account of its assets.<br />
<strong>A</strong> , his brothers and <strong>B</strong> divide among them the arable land planted with date palms and cultivated with grain located at the outlet (<em>bābu</em>) of Borsippa canal next to [PN and PN]. <strong>A </strong>and his brothers will get 1 kor, and B will get 1 kor. The attribution of the shares (<em>zittu ṣabātu</em>) will be decided by casting lots (<em>pūru maqātu</em>, lit. (where) the lot falls&rdquo;). Also the slaves will be divided in this way: <strong>C </strong>and<strong><sup> f</sup>D</strong> at the first casting, and <strong>E</strong> and <strong><sup>f</sup>F</strong> and the second. Certain assets will not be divide but remain in the business account: it concerns the female slave <strong><sup>f</sup>G</strong> , 25 shekels, and the silver needed to purchase 4 slaves from <strong>H. </strong>The same is true for the following assets: 200 vats filled with first quality (<em>rē&scaron;tu) </em>and full-strength beer (<em>ṭābu</em>), 20 empty vats, 10 fermenting vats (<em>namzītu</em>) with stands (<em>namharu</em>), 90 kor of dates still at the depot (<em>kalakku</em>),&nbsp; 15 kor of sifted (<em>nahlutu</em>) mustard-seeds, and 14 animals from the flock (<em>ṣēnu</em>) . Excluded from the above (<em>elat</em>) are: still outstanding credits or claims (lit. &ldquo;promissory notes of the street&rdquo;, <em>sūqu)</em>, and everything that <strong>B</strong> plans to undertake (<em>hasāsu</em>). In order to avoid any further changes in the above agreement, each of the partners has taken a copy of the present document. Names of 5 witnesses and the scribe.<br />
&nbsp;<br />
<strong>A</strong> = Itti-Marduk-balāṭu/Nab&ucirc;-ahhē-iddin//Egibi; <strong>B</strong> = Bēl&scaron;unu/Bēl-ahhē-iddin//S&icirc;n-imitti; <strong>C</strong> = Lūṣi-ana-nūri; <strong><sup>f</sup>D</strong> = <sup>f</sup>Le&rsquo;&rsquo;itu; <strong>E</strong> = Nergal-dānu; <strong><sup>f</sup>F</strong> = <sup>f</sup>Immirtu; <strong><sup>f</sup>G</strong> = <sup>f</sup>Ninlil-silīm; <strong>H</strong> = Marduk-&scaron;āpik-zēri",,Kathleen Abraham (12/12/2016),Nbn. 787,Egibi/Nūr-Sîn,19,"reedition: Wunsch 2000, no. 56; Krecher 1970, 190; Lanz 1976, 154f.",BM 30512,,,19/09/542 BCE,542,,,,,,,,,,,,,,,,,,,,,,
7256,BM 31376 ,Dar.,191,Each,Ālu-ša-Kalbā,Leases,-,XII,-,5,-,Dar,-,"House rental.<br />
<strong>A</strong> rents a house located in Borsippa near <strong>C</strong>&rsquo;s house to <strong>B</strong>, at a yearly price of 1/2 mina of stamped silver (<em>ginnu</em>). The renter should caulk (<em>&scaron;an&ucirc;</em>) the roof and repair the wall foundations (<em>asurr&ucirc;</em>). He should pay for the additional payment (<em>nūptu</em>) in Nisan (I), D&ucirc;zu (IV) and Kislim (IX); it is also agreed that half of the silver should be paid at the beginning of the year, and the remainder in the middle. The house is at the renter&rsquo;s disposal from the 2<sup>nd</sup> of Ayyār (II) onwards. Names of 3 wiitnesses and the scribe.<br />
&nbsp;<br />
<strong>A</strong> = Marduk-nāṣir-apli/Itti-Marduk-balāṭu//Egibi; <strong>B</strong> = Iddin-Bēl/&Scaron;ama&scaron;-iddin//&Scaron;ama&scaron;-bari; <strong>C</strong> = Bulṭāya","Transliteration available on <a href=""http://www.achemenet.com/en/item/?/textual-sources/texts-by-regions/babylonia/babylon/1656306"" target=""_blank"">Achemenet</a>",Kathleen Abraham 09/01/2017,Dar. 191,Egibi/Nūr-Sîn,28,"Krecher 1970, 272.",BM 31376 ,,,,,,,,,,,,,,,,,,,,,,,,,,
7240,BM 34530,CT 51,43,NB,Babylon city,Purchases,-,V,-,1,-,AM,-,"Purchase of a house.<br />
<strong>A</strong> purchases from <strong>B </strong>a house in ruins (<em>abtu</em>) to be demolished and built anew, whose size is 13 sq. r (159,25 m<sup>2</sup>). The house is located in Hursagkalamma in Ki&scaron;, near <strong>C<sub>1</sub></strong>, <strong>C<sub>2</sub></strong> and <strong>C<sub>3</sub></strong>, by the narrow street (<em>sūqu qatnu</em>). For now, the buyer pays 50 shekels of silver, inclusive of 5 shekels of additional payment (<em>atru</em>) and <em>lubāru</em>-garments. When the receipt for payment in full (<em>ṭuppi apilti</em>) will be sealed, he will pay the rest. Names of xxx witnesses and the scribe: Madānu-ahhē-iddin/Tabn&ecirc;a//Bēl-ēṭiru<br />
&nbsp;<br />
<strong>A</strong> = Nab&ucirc;-nāṣir/Ina-Esangila-zēru; <strong>B</strong> = Nab&ucirc;-aplu-iddin/Nab&ucirc;-&scaron;umu-i&scaron;kun//&Scaron;a-nā&scaron;ī&scaron;u; <strong>C<sub>1</sub></strong> = Mu&scaron;ēb&scaron;i/A&scaron;kāpu; <strong>C<sub>2</sub></strong> = Bābia/Mār-bīti-ēṭir//Gallābu; <strong>C<sub>3</sub></strong> = Rihītu",,Kathleen Abraham 09/01/2017,CT 51 43,Egibi/Nūr-Sîn,19,,BM 34530,,,,,,,,,,,,,,,,,,,,,,,,,,
